name,Mains,Takeaway only,Bites,Drinks,location,priceRange
4Fingers Crispy Fried Chicken,Y,,,,Hillion Mall,
Auntie Anne's,,,Y,,Hillion Mall,
Ayam Penyet President,Y,,,,Hillion Mall,
Big Fish Small Fish,Y,,,,Hillion Mall,
Blackball Dessert,,,Y,Y,Hillion Mall,
Chateraise,,,Y,,Hillion Mall,
Chatramue & Souperstar,,,,Y,Hillion Mall,
Common Grill by COLLIN'S®,Y,,,,Hillion Mall,
Crystal Jade La Mian Xiao Long Bao,Y,,,,Hillion Mall,
Dian Xiao Er,Y,,,,Hillion Mall,
D’Penyetz & D’Cendol,Y,,,,Hillion Mall,
Eat 3 Bowls,Y,,,,Hillion Mall,
Genki Sushi,Y,,,,Hillion Mall,
Gong Yuan Mala Tang,Y,,,,Hillion Mall,
Han's Cafe & Cake House,Y,,,,Hillion Mall,
HarriAnns Nonya Table,Y,,,,Hillion Mall,
Ichikokudo Hokkaido Ramen,Y,,,,Hillion Mall,
Ji De Chi Dessert,,,Y,Y,Hillion Mall,
Kei Kaisendon,Y,,,,Hillion Mall,
Keitaku Mazesoba,Y,,,,Hillion Mall,
King of Prawn Noodles,Y,,,,Hillion Mall,
Kopi & Tarts,,,Y,Y,Hillion Mall,
Krispy Kreme,,,Y,,Hillion Mall,
LLao Llao,,,Y,,Hillion Mall,
Long John Silver's,Y,,,,Hillion Mall,
Maki-San,Y,,,,Hillion Mall,
Mcdonald's,Y,,,,Hillion Mall,
MOS Burger,Y,,,,Hillion Mall,
Munchi Pancakes,,,Y,,Hillion Mall,
Namu Bulgogi,Y,,,,Hillion Mall,
PastaGo,Y,y,,,Hillion Mall,
Pontian Wanton Noodles,Y,,,,Hillion Mall,
QiJi,Y,y,,,Hillion Mall,
Saizeriya,Y,,,,Hillion Mall,
Sanook Kitchen,Y,,,,Hillion Mall,
Starbucks Coffee,,,Y,Y,Hillion Mall,
Subway,Y,,,,Hillion Mall,
Sukiya,Y,,,,Hillion Mall,
Sushi Express,Y,,,,Hillion Mall,
Tempura Tendon Tenya,Y,,,,Hillion Mall,
The Hainan Story,Y,,,,Hillion Mall,
The Soup Spoon Union,Y,,,,Hillion Mall,
Tiong Bahru Yong Tao Hu,Y,,,,Hillion Mall,
Tongue Tip Lanzhou Beef Noodles,Y,,,,Hillion Mall,
Tori-Q,Y,,,,Hillion Mall,
ToriGO,Y,,,,Hillion Mall,
Wingstop,Y,,,,Hillion Mall,
Wok The FISH! By A-One F&B Group,Y,,,,Hillion Mall,
Ya Kun Kaya Toast,,,Y,Y,Hillion Mall,
南洋岛 Nan Yang Dao,Y,,,,Hillion Mall,
